dispnum3,incidnum3,dispnum4,incidnum4,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version
3552,3552005,-9,-9,IRQ,645,3,8,1992,24,8,1992,0,0,2,0,0,1,0,1,4.3000002
3552,3552006,-9,-9,USA,2,4,1,1993,4,1,1993,0,1,0,0,0,1,0,0,4.3000002
3552,3552006,-9,-9,IRQ,645,4,1,1993,4,1,1993,1,0,0,0,7,3,2,0,4.3000002
3552,3552007,-9,-9,IRQ,645,6,1,1993,6,1,1993,0,0,0,0,0,1,0,0,4.3000002
3552,3552007,-9,-9,USA,2,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,4.3000002
3552,3552007,-9,-9,UKG,200,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,4.3000002
3552,3552007,-9,-9,RUS,365,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,4.3000002
3552,3552007,-9,-9,FRN,220,6,1,1993,6,1,1993,1,1,0,0,1,2,2,1,4.3000002
3552,3552008,-9,-9,IRQ,645,7,1,1993,9,1,1993,0,0,0,0,0,1,0,0,4.3000002
3552,3552008,-9,-9,KUW,690,7,1,1993,9,1,1993,1,1,0,0,8,3,2,0,4.3000002
3552,3552009,-9,-9,USA,2,10,1,1993,10,1,1993,0,1,0,0,0,1,0,0,4.3000002
3552,3552009,-9,-9,IRQ,645,10,1,1993,10,1,1993,1,0,0,0,8,3,2,0,4.3000002
3552,3552010,-9,-9,USA,2,11,1,1993,11,1,1993,0,1,0,0,0,1,0,0,4.3000002
3552,3552010,-9,-9,IRQ,645,11,1,1993,11,1,1993,1,0,0,0,7,3,2,4,4.3000002
3552,3552011,-9,-9,IRQ,645,12,1,1993,12,1,1993,0,0,0,0,0,1,0,0,4.3000002
3552,3552011,-9,-9,USA,2,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,4.3000002
3552,3552011,-9,-9,FRN,220,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,4.3000002
3552,3552011,-9,-9,UKG,200,12,1,1993,12,1,1993,1,1,0,0,8,3,2,0,4.3000002
3552,3552012,-9,-9,IRQ,645,13,1,1993,13,1,1993,0,0,1,17,17,4,4,0,4.3000002
3552,3552012,-9,-9,FRN,220,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,4.3000002
3552,3552012,-9,-9,USA,2,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,4.3000002
3552,3552012,-9,-9,UKG,200,13,1,1993,13,1,1993,1,1,0,0,17,4,4,0,4.3000002
3552,3552013,-9,-9,IRQ,645,13,1,1993,13,1,1993,0,0,0,0,0,1,0,0,4.3000002
3552,3552013,-9,-9,USA,2,13,1,1993,13,1,1993,1,1,0,0,1,2,2,0,4.3000002
3552,3552014,-9,-9,IRQ,645,14,1,1993,14,1,1993,0,0,0,0,0,1,0,0,4.3000002
3552,3552014,-9,-9,FRN,220,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,4.3000002
3552,3552014,-9,-9,USA,2,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,4.3000002
3552,3552014,-9,-9,RUS,365,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,4.3000002
3552,3552014,-9,-9,UKG,200,14,1,1993,14,1,1993,1,1,0,0,1,2,2,0,4.3000002
3552,3552015,-9,-9,IRQ,645,15,1,1993,15,1,1993,0,0,0,0,0,1,0,0,4.3000002
3552,3552015,-9,-9,USA,2,15,1,1993,15,1,1993,1,1,0,0,1,2,2,0,4.3000002
3552,3552016,-9,-9,USA,2,16,1,1993,16,1,1993,0,1,0,0,0,1,0,0,4.3000002
3552,3552016,-9,-9,IRQ,645,16,1,1993,16,1,1993,1,0,0,0,1,2,2,0,4.3000002
3552,3552017,-9,-9,IRQ,645,17,1,1993,21,1,1993,0,0,-9,-9,17,4,2,0,4.3000002
3552,3552017,-9,-9,USA,2,17,1,1993,21,1,1993,1,1,0,0,17,4,2,0,4.3000002
